Event	DateTime	Latitude	Longitude	Sample label	Depthsed	Depthcomp	Depthcompr	Depthcorrcr	HybridAge	AgeLisiec	AgeAhn	AgeKonijn	d18O	d13C
339-U1385E		37.5713	-10.1262	339-U1385E-2H-5,40-41	7.450	9.420	9.420	9.409	43.45	44.43	47.32	48.72	1.63	-1.09
339-U1385E		37.5713	-10.1262	339-U1385E-2H-5,60-61	7.650	9.620	9.620	9.635	44.06	45.35	48.29	49.79	2.26	-0.86
339-U1385E		37.5713	-10.1262	339-U1385E-2H-5,80-81	7.850	9.820	9.820	9.855	45.01	46.24	49.22	50.83	1.45	-0.62
339-U1385E		37.5713	-10.1262	339-U1385E-2H-5,100-101	8.050	10.020	10.020	10.073	45.95	47.12	50.15	51.86	1.65	-0.52
339-U1385E		37.5713	-10.1262	339-U1385E-2H-5,120-121	8.250	10.220	10.220	10.292	46.89	48.01	51.08	52.89	1.28	-0.73
339-U1385E		37.5713	-10.1262	339-U1385E-2H-5,140-141	8.450	10.420	10.420	10.511	48.63	48.89	52.01	53.93	2.44	-0.56
339-U1385E		37.5713	-10.1262	339-U1385E-2H-6,20-21	8.750	10.720	10.720	10.848	51.60	50.26	53.44	55.52	1.46	-0.55
339-U1385D		37.5713	-10.1259	339-U1385D-2H-2,100-101	9.410	10.940	10.940	11.026	52.42	50.98	54.20	56.37	1.26	-1.10
339-U1385E		37.5713	-10.1262	339-U1385E-2H-6,40-41	8.950	10.920	10.920	11.089	52.57	51.23	54.47	56.67	1.58	-0.43
339-U1385D		37.5713	-10.1259	339-U1385D-2H-2,120-121	9.610	11.140	11.140	11.189	52.80	51.64	54.90	57.14	1.31	-0.74
339-U1385D		37.5713	-10.1259	339-U1385D-2H-2,140-141	9.810	11.340	11.340	11.353	53.19	52.30	55.59	57.91	1.35	-0.61
339-U1385D		37.5713	-10.1259	339-U1385D-2H-3,0-1	9.920	11.450	11.450	11.442	53.40	52.66	55.97	58.34	1.10	-1.16
339-U1385D		37.5713	-10.1259	339-U1385D-2H-3,20-21	10.120	11.650	11.650	11.606	53.78	53.32	56.67	59.11	1.45	-0.53
339-U1385D		37.5713	-10.1259	339-U1385D-2H-3,40-41	10.320	11.850	11.850	11.769	54.16	53.98	57.36	59.88	1.32	-0.82
339-U1385D		37.5713	-10.1259	339-U1385D-2H-3,60-61	10.520	12.050	12.050	11.933	54.61	54.65	58.06	60.66	2.30	-0.55
339-U1385D		37.5713	-10.1259	339-U1385D-2H-3,80-81	10.720	12.250	12.250	12.126	55.41	55.43	58.88	61.57	1.97	-0.68
339-U1385D		37.5713	-10.1259	339-U1385D-2H-3,100-101	10.920	12.450	12.450	12.335	56.29	56.27	59.77	62.56	2.05	-0.79
339-U1385D		37.5713	-10.1259	339-U1385D-2H-3,120-121	11.120	12.650	12.650	12.529	57.10	57.06	60.59	63.48	1.27	-1.29
339-U1385D		37.5713	-10.1259	339-U1385D-2H-3,140-141	11.320	12.850	12.850	12.706	57.80	57.77	61.35	64.32	1.17	-1.12
339-U1385D		37.5713	-10.1259	339-U1385D-2H-4,1-2	11.450	12.980	12.980	12.821	58.26	58.24	61.84	64.86	1.31	-1.24
339-U1385D		37.5713	-10.1259	339-U1385D-2H-4,20-21	11.640	13.170	13.170	12.990	58.82	58.92	62.56	65.66	2.04	-0.82
339-U1385D		37.5713	-10.1259	339-U1385D-2H-4,40-41	11.840	13.370	13.370	13.240	60.06	59.93	63.62	66.84	1.92	-1.08
339-U1385D		37.5713	-10.1259	339-U1385D-2H-4,60-61	12.040	13.570	13.570	13.490	61.71	60.95	64.68	68.03	2.29	-0.99
