Age (Ma)	Global mean SST (oC) hi-res area weighted	SST +1stdev	SST -1stdev	Global mean SST (oC) lo-res weighted	lo-res SST +1stdev	lo-res SST -1stdev	Global mean surface temp (GMST) (oC) area weighted	GMST +1stdev	GMST -1stdev
4.287	3.08	4.05	2.10	3.12	3.60	2.63	4.34	5.85	2.84
4.288	3.18	4.24	2.13	3.12	3.60	2.63	4.36	5.98	2.73
4.289	3.18	4.22	2.13	3.12	3.60	2.63	4.34	5.95	2.73
4.29	3.34	4.18	2.50	3.11	3.60	2.63	4.57	5.88	3.25
4.291	3.17	4.20	2.14	3.12	3.60	2.63	4.31	5.90	2.73
4.292	3.17	4.20	2.15	3.12	3.60	2.63	4.31	5.89	2.73
4.293	3.18	4.20	2.15	3.12	3.61	2.64	4.31	5.88	2.74
4.294	3.28	4.41	2.15	3.12	3.61	2.64	4.44	6.17	2.71
4.295	3.16	4.06	2.26	3.13	3.61	2.64	4.32	5.72	2.92
4.296	3.36	4.36	2.35	3.13	3.61	2.64	4.53	6.08	2.98
4.297	3.40	4.38	2.42	3.15	3.63	2.66	4.58	6.09	3.07
4.298	3.44	4.40	2.48	3.17	3.65	2.69	4.63	6.11	3.14
4.299	3.28	4.15	2.41	3.17	3.65	2.69	4.42	5.77	3.06
