Age	d18Osw	sigma
0.981	0.10	0.31
0.982	0.16	0.28
0.983	0.23	0.33
0.984	0.36	0.38
0.985	0.42	0.36
0.986	0.49	0.34
0.987	0.44	0.32
0.988	0.42	0.29
0.989	0.42	0.28
0.99	0.39	0.28
0.991	0.32	0.28
0.992	0.28	0.29
0.993	0.28	0.31
0.994	0.31	0.34
0.995	0.29	0.31
0.996	0.28	0.28
0.997	0.27	0.29
0.998	0.27	0.29
0.999	0.29	0.30
1	0.29	0.30
1.001	0.36	0.29
1.002	0.44	0.27
1.003	0.57	0.29
1.004	0.73	0.30
1.005	0.68	0.29
1.006	0.64	0.28
1.007	0.60	0.29
1.008	0.54	0.30
1.009	0.49	0.31
1.01	0.44	0.33
1.011	0.44	0.30
1.012	0.43	0.28
1.013	0.37	0.29
1.014	0.29	0.31
1.015	0.21	0.36
1.016	0.11	0.41
1.017	0.17	0.34
1.018	0.22	0.29
1.019	0.27	0.29
1.02	0.31	0.30
1.021	0.29	0.30
1.022	0.27	0.30
1.023	0.31	0.34
1.024	0.36	0.40
1.025	0.38	0.43
1.026	0.41	0.48
1.027	0.39	0.37
1.028	0.35	0.28
1.029	0.35	0.29
1.03	0.33	0.29
1.031	0.41	0.29
1.032	0.50	0.29
1.033	0.56	0.29
1.034	0.63	0.30
1.035	0.69	0.28
1.036	0.74	0.27
1.037	0.79	0.28
1.038	0.81	0.29
1.039	0.67	0.34
1.04	0.57	0.40
1.041	0.64	0.35
1.042	0.76	0.30
1.043	0.77	0.32
1.044	0.77	0.33
1.045	0.75	0.33
1.046	0.70	0.32
1.047	0.66	0.31
1.048	0.61	0.29
1.049	0.62	0.29
1.05	0.63	0.30
1.051	0.63	0.31
1.052	0.61	0.32
1.053	0.58	0.30
1.054	0.54	0.28
1.055	0.59	0.29
1.056	0.57	0.30
1.057	0.54	0.32
1.058	0.50	0.35
1.059	0.42	0.33
1.06	0.34	0.31
1.061	0.33	0.33
1.062	0.34	0.35
1.063	0.29	0.41
1.064	0.25	0.47
1.065	0.22	0.37
1.066	0.21	0.29
1.067	0.14	0.29
1.068	0.06	0.30
1.069	0.08	0.28
1.07	0.09	0.26
1.071	0.04	0.28
1.072	0.00	0.31
1.073	0.07	0.32
1.074	0.13	0.34
1.075	0.12	0.32
1.076	0.09	0.30
1.077	0.22	0.36
1.078	0.38	0.43
1.079	0.29	0.38
1.08	0.19	0.33
1.081	0.38	0.30
1.082	0.56	0.28
1.083	0.51	0.30
1.084	0.46	0.32
1.085	0.48	0.29
1.086	0.45	0.27
1.087	0.48	0.28
1.088	0.48	0.29
1.089	0.48	0.29
1.09	0.47	0.28
1.091	0.52	0.29
1.092	0.57	0.31
1.093	0.50	0.32
1.094	0.44	0.34
1.095	0.48	0.30
1.096	0.54	0.28
1.097	0.60	0.30
1.098	0.69	0.34
1.099	0.63	0.32
1.1	0.63	0.30
1.101	0.62	0.31
1.102	0.59	0.31
1.103	0.46	0.35
1.104	0.36	0.39
1.105	0.34	0.36
1.106	0.35	0.34
1.107	0.24	0.32
1.108	0.16	0.30
1.109	0.31	0.33
1.11	0.53	0.36
1.111	0.45	0.31
1.112	0.40	0.27
1.113	0.48	0.30
1.114	0.56	0.34
1.115	0.57	0.31
1.116	0.56	0.29
1.117	0.61	0.30
1.118	0.67	0.31
1.119	0.65	0.33
1.12	0.64	0.36
1.121	0.71	0.33
1.122	0.79	0.31
1.123	0.77	0.31
1.124	0.77	0.31
1.125	0.73	0.30
1.126	0.71	0.29
1.127	0.75	0.28
1.128	0.79	0.27
1.129	0.71	0.27
1.13	0.63	0.27
1.131	0.49	0.30
1.132	0.32	0.35
1.133	0.40	0.31
1.134	0.54	0.28
1.135	0.54	0.29
1.136	0.43	0.30
1.137	0.37	0.32
1.138	0.29	0.33
1.139	0.34	0.31
1.14	0.39	0.29
