Age	d18OT	sigma
1.019	3.31	0.08
1.020	3.30	0.08
1.021	3.29	0.08
1.022	3.27	0.08
1.023	3.28	0.09
1.024	3.27	0.09
1.025	3.26	0.09
1.026	3.26	0.08
1.027	3.25	0.08
1.028	3.24	0.08
1.029	3.24	0.08
1.030	3.26	0.08
1.031	3.27	0.08
1.032	3.28	0.07
1.033	3.30	0.07
1.034	3.31	0.07
1.035	3.32	0.07
1.036	3.34	0.07
1.037	3.35	0.07
1.038	3.37	0.07
1.039	3.38	0.08
1.040	3.37	0.08
1.041	3.38	0.08
1.042	3.37	0.08
1.043	3.37	0.08
1.044	3.36	0.08
1.045	3.35	0.08
1.046	3.36	0.08
1.047	3.37	0.08
1.048	3.38	0.08
1.049	3.39	0.08
1.050	3.39	0.08
1.051	3.39	0.08
1.052	3.40	0.08
1.053	3.39	0.08
1.054	3.39	0.09
1.055	3.37	0.08
1.056	3.38	0.07
1.057	3.36	0.07
1.058	3.35	0.07
1.059	3.35	0.07
1.060	3.34	0.07
1.061	3.32	0.08
1.062	3.30	0.07
1.063	3.28	0.07
1.064	3.25	0.08
1.065	3.23	0.08
1.066	3.20	0.07
1.067	3.18	0.07
1.068	3.17	0.07
1.069	3.16	0.07
1.070	3.15	0.07
1.071	3.15	0.07
1.072	3.15	0.07
1.073	3.15	0.07
1.074	3.16	0.08
1.075	3.15	0.07
1.076	3.15	0.07
1.077	3.16	0.06
1.078	3.15	0.06
1.079	3.14	0.06
1.080	3.14	0.06
1.081	3.13	0.06
1.082	3.13	0.06
1.083	3.14	0.06
1.084	3.16	0.06
1.085	3.16	0.06
1.086	3.20	0.06
1.087	3.21	0.06
1.088	3.24	0.05
1.089	3.25	0.05
1.090	3.26	0.05
1.091	3.26	0.06
1.092	3.27	0.06
1.093	3.30	0.06
1.094	3.32	0.06
1.095	3.34	0.06
1.096	3.35	0.06
1.097	3.36	0.07
1.098	3.34	0.07
1.099	3.36	0.08
1.100	3.34	0.08
1.101	3.34	0.08
1.102	3.35	0.08
1.103	3.37	0.08
1.104	3.36	0.09
1.105	3.34	0.09
1.106	3.31	0.08
1.107	3.30	0.08
1.108	3.28	0.08
1.109	3.27	0.08
1.110	3.23	0.07
1.111	3.26	0.07
1.112	3.27	0.07
1.113	3.29	0.06
1.114	3.30	0.06
1.115	3.31	0.06
1.116	3.32	0.06
1.117	3.33	0.06
1.118	3.34	0.06
1.119	3.36	0.06
1.120	3.36	0.06
1.121	3.39	0.06
1.122	3.41	0.06
1.123	3.42	0.07
1.124	3.41	0.06
1.125	3.41	0.06
1.126	3.39	0.06
1.127	3.39	0.06
1.128	3.38	0.06
1.129	3.39	0.06
1.130	3.40	0.07
1.131	3.40	0.07
1.132	3.41	0.07
1.133	3.43	0.08
1.134	3.41	0.08
1.135	3.37	0.08
1.136	3.39	0.07
1.137	3.39	0.07
1.138	3.41	0.07
1.139	3.39	0.07
1.140	3.37	0.07
1.141	3.34	0.08
1.142	3.35	0.07
1.143	3.33	0.07
1.144	3.33	0.07
1.145	3.32	0.07
1.146	3.31	0.06
1.147	3.29	0.06
1.148	3.27	0.06
1.149	3.25	0.06
1.150	3.24	0.06
1.151	3.24	0.05
1.152	3.25	0.06
1.153	3.25	0.07
1.154	3.24	0.07
1.155	3.23	0.07
1.156	3.21	0.07
1.157	3.20	0.07
1.158	3.19	0.06
1.159	3.19	0.06
